id,feature,category,moscow,description,source,status,notes
CMF-001,Fix cross_role_analysis silent failure,Bug Fix,Must,Section 7 (Cross-Role Analysis) shows 0.0s in substep timing and cross_role is null in latest_run.json. Likely swallowed exception in analysis/cross_role.py or PipelineState field not populating. Add explicit logging around cross_role_analysis() call in engine.py.,PROJECT_LOG.md Session 9 known issues,Done,"Resolved Session 10 (Mar 1 2026): cross_role IS populated (6 roles ranked + narrative). 0.0s timing = pure Python running <1ms. 'null' was misread of truncated 2KB JSON preview. shared_gaps: 0 is a quality issue (verbose gap descriptions resist normalization) not a pipeline bug. No code change needed. CMF-027 unblocked."
CMF-002,Fix performance regression to 476s,Performance,Must,Total time regressed from 427s baseline to 476.71s after Session 7. Agent 3 (role_comparator) at 265s is the bottleneck. Check whether parallel_workers: 3 is being read from tuning.yaml and passed to ThreadPoolExecutor — may have been dropped when wiring num_ctx options in Session 7.,PROJECT_LOG.md Session 9 known issues,Done,"Resolved Session 10 (Mar 1 2026): parallel_workers IS correctly wired. Root cause: Ollama serializes requests by default (OLLAMA_NUM_PARALLEL=1). Fix: (1) reduced self_consistency_samples 3->2 in tuning.yaml (saves ~88s; Agent 3 ~265->~177s); (2) reduced reasoning_context_window 16384->8192 (prompts are ~4000-5500 tokens). For true parallel: set OLLAMA_NUM_PARALLEL=3 before Ollama server starts (documented in tuning.yaml)."
CMF-003,Make internship/FT selector more prominent,UX Bug,Must,The 1-year internship vs 2-year full-time toggle is only on the left sidebar — easy to miss. Move to main input area above the fold or add a visible callout so users don't accidentally run pipeline on wrong track.,Voice memo 2026-02-28-16-33,Done,"Resolved Session 10 (Mar 1 2026): removed from sidebar; added as st.radio(horizontal=True) in main area between file uploaders and WHY statement with dividers and help text explaining 65/35 vs 50/50 weighting difference."
CMF-004,Role recommendation bias / unbiased role expansion,Data Quality,Must,When run on non-builder profiles the engine recommended Government Digital Services. Unclear if LLM anchored on builder's requirements during PRD creation. Need visibility into the full role universe considered and a way to expand frame without introducing bias.,Voice memo 2026-02-28-16-22; PROJECT_LOG.md Quality Concerns,Open,Required for engine to be usable with other students' profiles
CMF-005,Tally form intake pipeline,Feature,Must,Auto-pull submissions from Tally form gD5Qll and route into CMF pipeline. Eliminates manual PDF upload step for real users. Workflow: pull new submissions -> auto-load resume + WHY -> prompt for LinkedIn PDF -> run pipeline -> save to runs/ with submission ID. Resolve: batch vs webhook; what fields does form collect; PDF vs pasted resume.,PROJECT_LOG.md Feature Backlog,Open,Form ID: gD5Qll. Auth pattern in gsc-materials/newsletter-reviews/CRITICAL-LESSON-API-START-DATE.md
CMF-006,Skill extraction observability,Feature,Must,Show candidate which skills were extracted and by what method (alias / LLM / inferred / transfer_label / graph_inferred). Builds transparency and trust — users need to understand why they have gaps before they accept the analysis.,Voice memo 2026-02-28-16-35; PROJECT_LOG.md Feature Backlog,Open,Tag already exists on skills_flat (match_method field); needs UI layer
CMF-007,Transferable language enrichment layer,Data Quality,Should,LLM pass that reads raw resume text and generates 2-3 industry-agnostic labels per described experience. Addresses core problem: candidates describe transferable skills in domain-specific language that misses alias matching. E.g. 'led quarterly business reviews with C-suite' -> ['executive communication' 'stakeholder management' 'executive presence']. Tagged match_method: transfer_label.,PROJECT_LOG.md Feature Backlog (TOP PRIORITY),Open,New skills.py substep: generate_transfer_labels(). Guard against hallucination with evidence-grounding constraint.
CMF-008,Resume re-upload for quick iteration,UX,Should,Users should be able to re-upload a revised resume and re-run pipeline without starting from scratch. Session state should persist WHY statement and role selection between re-uploads.,Voice memo 2026-02-27-18-58; PROJECT_LOG.md Feature Backlog,Open,"Closely related to gap-based follow-up (CMF-009) — iteration loop implies: gap shown -> user refines resume -> re-run"
CMF-009,Gap-based follow-up questions,Feature,Should,"Intermediate step after gap identification: ask users contextual questions about whether they actually have flagged skills and what evidence supports them. E.g. coding skill: 'Did you take a class? Build with it? Informal learning?' Competitive intelligence: 'Did you do it extensively in prior roles?' Link directly to the relevant role section in UI.",Voice memo 2026-02-27-18-58; PROJECT_LOG.md Feature Backlog,Open,Also allows UI clickable role links for direct navigation
CMF-010,Collect prior applications + non-resume highlights,Feature,Should,"Two additional data inputs: (1) jobs already applied to — context for recommendations, avoids suggesting already-rejected roles; (2) info NOT on resume that user thinks is worth highlighting or has had challenges incorporating. Both parsed separately from resume.",Voice memo 2026-02-27-18-58 (text note); PROJECT_LOG.md Feature Backlog,Open,Captured as typed text note mid-voice memo — explicit feature request
CMF-011,Prompt tuning for Agents 1-3,Data Quality,Should,Agent 1 (profile synthesizer) skill_clusters and industry_signals quality still unverified post-Session 8 schema fix. Agent 2 (motivation extractor) and Agent 3 (role comparator) untested for output quality. Need calibration run on Nathanael's profile as baseline.,PROJECT_LOG.md Known Issues,Open,Depends on: successful end-to-end run after Session 6/8 fixes verified
CMF-012,Self-consistency calibration,Data Quality,Should,Validate whether 3 samples in Agent 3 (role_comparator) provides sufficient agreement signal. Check if sampling paths are diverse enough to produce meaningful confidence bands vs all converging on same answer.,PROJECT_LOG.md Known Issues,Open,
CMF-013,Confidence band calibration,Data Quality,Should,Validate composite confidence band scores against human judgment on known profiles. Currently theoretical — weights in confidence.py not calibrated against ground truth.,PROJECT_LOG.md Known Issues,Open,Requires multiple profile runs as test set
CMF-014,Close-fit vs dream-role match explanation,Feature,Could,"Split role display: closest-fit roles (highest % match) vs dream-fit roles (aligned with stated WHY/aspirations). System explains why percentages differ between the two sets — e.g. 'You described wanting X but your experience anchors to Y which matches better for Z roles'.",Voice memo 2026-02-27-18-58; PROJECT_LOG.md Feature Backlog,Open,V2 target
CMF-015,Why statement field guide text,UX,Could,Add helper text / example prompts around the WHY statement input field. Currently too open-ended for most users. Guide what kind of content is useful (motivations / career direction / values / aspirations rather than skills).,Voice memo 2026-02-28-16-33; PROJECT_LOG.md Feature Backlog,Open,V2/V3 target per Nathanael
